UniqueCount	AmbigCount
0	80
0	280
0	565
0	709
0	46
4	105
0	294
0	0
0	707
0	1422
0	477
0	1292
0	1342
0	227
0	166
0	279
0	226
0	798
0	825
24	0
0	0
0	246
0	386
0	195
0	130
0	524
1	87
0	20
0	78
0	71
0	0
0	0
0	248
0	152
1	259
0	273
0	269
0	1010
0	1054
0	1030
0	1036
0	1024
0	76
0	286
1	29
1	347
0	290
0	8
0	27
1	18
0	109
0	44
0	37
0	50
0	514
0	461
1	100
0	115
0	143
0	211
0	64
0	230
0	137
0	99
0	12
0	260
1	131
0	175
0	128
0	66
